simulation,permutation,lambda_pairs,threshold,predicted_changepoints
22,1,"20.83266665599966,0.16473520098609867;21.02379604162864,0.16323757716528176;21.118712081942874,0.16250392141985084;21.0,0.16342254898345238;20.8806130178211,0.16435693366490142;21.071307505705477,0.16286951000659317;21.118712081942874,0.16250392141985084;20.73644135332772,0.1654996375789312;21.118712081942874,0.16250392141985084;21.142374511865974,0.16232204791975427;20.904544960366874,0.16416877454921988;20.97617696340303,0.163608151029621;20.97617696340303,0.163608151029621;20.42057785666214,0.16805956975075825;20.83266665599966,0.16473520098609867;20.663978319771825,0.1660800004502906;20.8806130178211,0.16435693366490142;20.808652046684813,0.16492531668812532;20.46948949045872,0.1676579931439996;20.54263858417414,0.16706098949218648",0.7475669593437373,446
13,1,"19.849433241279208,0.17289529060787082;20.0,0.171593676432625;19.28730152198591,0.17793435358183474;19.849433241279208,0.17289529060787082;19.6468827043885,0.17467776340344957;19.82422760159901,0.173115119419618;20.0,0.171593676432625;19.79898987322333,0.17333578887748485;19.82422760159901,0.173115119419618;19.544820285692065,0.17558992502810727;20.0,0.171593676432625;19.949937343260004,0.17202427604675877;19.672315572906,0.17445193556060581;19.949937343260004,0.17202427604675877;19.595917942265423,0.17513206264507103;19.8997487421324,0.17245813367414156;19.77371993328519,0.17355730435301717;19.82422760159901,0.173115119419618;19.924858845171276,0.17224079504504008;19.82422760159901,0.173115119419618",0.8309204672035884,477
50,1,"20.074859899884732,0.17095379722536472;19.6468827043885,0.17467776340344957;19.82422760159901,0.173115119419618;19.6468827043885,0.17467776340344957;20.0,0.171593676432625;19.8997487421324,0.17245813367414156;20.248456731316587,0.16948815281041688;20.024984394500787,0.17137958567373232;19.313207915827967,0.1776956756023912;19.87460691435179,0.17267629711832366;19.77371993328519,0.17355730435301717;20.149441679609886,0.17032102344182395;19.72308292331602,0.17400289508469513;20.049937655763422,0.17116629425857574;20.149441679609886,0.17032102344182395;19.79898987322333,0.17333578887748485;19.209372712298546,0.17865619976519528;19.595917942265423,0.17513206264507103;20.42057785666214,0.16805956975075825;19.849433241279208,0.17289529060787082",0.28168338364990575,821
20,1,"23.345235059857504,0.1470053104992573;23.08679276123039,0.14865094359991132;22.869193252058544,0.15006535170817992;22.44994432064365,0.1528677968923402;22.759613353482084,0.15078786600421065;22.93468988235943,0.1496367967587902;22.693611435820433,0.15122641622547145;22.978250586152114,0.14935312485105914;22.759613353482084,0.15078786600421065;22.9128784747792,0.1497792401958598;23.108440016582687,0.14851169209993306;22.825424421026653,0.15035310911857908;23.2163735324878,0.14782125743497848;22.538855339169288,0.1522647657571322;22.781571499789035,0.15064252826826632;22.956480566497994,0.14949475895102468;23.021728866442675,0.14907106015199953;22.24859546128699,0.15425124406725046;22.64950330581225,0.15152091780184082;22.781571499789035,0.15064252826826632",0.3648648788962521,101
45,1,"19.209372712298546,0.17865619976519528;18.708286933869708,0.18344135627080826;18.275666882497067,0.18778376464824204;18.76166303929372,0.1829194736876424;18.894443627691185,0.18163400819184955;18.547236990991408,0.18503421993903446;18.466185312619388,0.1858463711131087;18.466185312619388,0.1858463711131087;19.209372712298546,0.17865619976519528;18.57417562100671,0.1847658597979001;18.867962264113206,0.18188893324107977;18.76166303929372,0.1829194736876424;19.209372712298546,0.17865619976519528;18.920887928424502,0.181380152011622;18.708286933869708,0.18344135627080826;19.209372712298546,0.17865619976519528;18.76166303929372,0.1829194736876424;19.131126469708992,0.17938690301829902;18.734993995195193,0.18317985741189155;19.28730152198591,0.17793435358183474",1.3930377123966897,663
37,1,"22.090722034374522,0.15535361512006235;22.15851980616034,0.15487828422990588;22.15851980616034,0.15487828422990588;22.15851980616034,0.15487828422990588;22.24859546128699,0.15425124406725046;22.40535650240808,0.15317201171441522;22.0,0.15599425130238637;22.538855339169288,0.1522647657571322;22.15851980616034,0.15487828422990588;22.045407685048602,0.15567294457339648;22.64950330581225,0.15152091780184082;22.494443758403985,0.152565387502429;22.15851980616034,0.15487828422990588;22.181073012818835,0.15472080754024656;23.043437243605826,0.14893062577306207;22.293496809607955,0.15394056652312374;22.20360331117452,0.1545638102318881;22.40535650240808,0.15317201171441522;21.97726097583591,0.15615565253676783;22.427661492005804,0.1530196775029697",0.20450025109799952,76
16,1,"18.303005217723125,0.18750328089997786;18.520259177452136,0.1853037528130656;19.493588689617926,0.17605139737457773;18.841443681416774,0.18214493468127077;18.681541692269406,0.18370397824675472;18.33030277982336,0.18722405024482477;18.275666882497067,0.18778376464824204;18.867962264113206,0.18188893324107977;18.16590212458495,0.18891842007713727;18.81488772222678,0.18240202010869777;18.05547008526779,0.19007389519327492;18.76166303929372,0.1829194736876424;18.867962264113206,0.18188893324107977;17.944358444926362,0.1912508345832134;19.05255888325765,0.1801266459629338;18.734993995195193,0.18317985741189155;18.841443681416774,0.18214493468127077;18.24828759089466,0.18806551089017803;18.65475810617763,0.18396773140231795;18.35755975068582,0.18694606337992656",0.49148761666321583,651
33,1,"18.81488772222678,0.18240202010869777;18.627936010197157,0.18423262388134953;19.209372712298546,0.17865619976519528;18.439088914585774,0.18611947393657846;19.1049731745428,0.17963247042008096;18.841443681416774,0.18214493468127077;19.05255888325765,0.1801266459629338;19.0,0.1806249225606579;18.601075237738275,0.18449866391002165;19.157244060668017,0.17914233998294793;18.947295321496416,0.18112735725182427;18.708286933869708,0.18344135627080826;18.05547008526779,0.19007389519327492;18.76166303929372,0.1829194736876424;18.734993995195193,0.18317985741189155;18.708286933869708,0.18344135627080826;18.466185312619388,0.1858463711131087;18.76166303929372,0.1829194736876424;19.1049731745428,0.17963247042008096;18.547236990991408,0.18503421993903446",0.7703132986527861,455
38,1,"22.956480566497994,0.14949475895102468;22.561028345356956,0.15211511975954664;22.58317958127243,0.15196591411328333;22.58317958127243,0.15196591411328333;22.737634001804146,0.15093362521272854;22.67156809750927,0.15137345215347195;22.80350850198276,0.15049760997760933;22.494443758403985,0.152565387502429;23.0,0.1492118925501087;22.93468988235943,0.1496367967587902;22.516660498395403,0.1524148542763286;22.93468988235943,0.1496367967587902;23.021728866442675,0.14907106015199953;22.869193252058544,0.15006535170817992;22.847319317591726,0.15020902369102287;22.891046284519195,0.149922091196566;22.627416997969522,0.15166881526779924;22.427661492005804,0.1530196775029697;22.847319317591726,0.15020902369102287;22.494443758403985,0.152565387502429",0.20508746126052543,826
39,1,"18.24828759089466,0.18806551089017803;17.97220075561143,0.19095455116040655;18.16590212458495,0.18891842007713727;18.05547008526779,0.19007389519327492;18.303005217723125,0.18750328089997786;18.24828759089466,0.18806551089017803;17.74823934929885,0.19336416762872186;18.33030277982336,0.18722405024482477;17.944358444926362,0.1912508345832134;18.303005217723125,0.18750328089997786;18.439088914585774,0.18611947393657846;18.33030277982336,0.18722405024482477;18.138357147217054,0.18920531230024037;18.411952639521967,0.18639378429020345;18.466185312619388,0.1858463711131087;17.804493814764857,0.1927532208641914;18.027756377319946,0.1903660919763711;18.2208671582886,0.1883485291253745;18.520259177452136,0.1853037528130656;18.681541692269406,0.18370397824675472",1.1186952907755563,343
