simulation,permutation,lambda_pairs,threshold,predicted_changepoints
36,1,"13.0,0.12808532479349197;13.2664991614216,0.1255123301222873;12.727922061357855,0.13082333583505273",0.01002017396430678,187
10,1,"12.84523257866513,0.129628577148615;13.19090595827292,0.12623160437824907;13.076696830622021,0.12733408473737562",0.014064491046055484,139
44,1,"12.288205727444508,0.13550466677136896;11.916375287812984,0.1397328618894977;12.083045973594572,0.13780541975543306",0.031193201279295923,123
14,1,"13.490737563232042,0.12342610732073846;13.711309200802088,0.12144057127805048;13.638181696985855,0.12209173182400096",0.05678910931827931,115
21,1,"12.84523257866513,0.129628577148615;12.68857754044952,0.13122899056314594;13.038404810405298,0.12770804761227808",0.010130743104911384,163
35,1,"14.035668847618199,0.11863411999763433;13.674794331177344,0.12176484574390206;14.0,0.11893637302252824",0.010950895122438995,73
3,1,"13.19090595827292,0.12623160437824907;14.071247279470288,0.11833415966932524;13.564659966250536,0.1227534804748707",0.004881067628194373,196
8,1,"12.36931687685298,0.13461610199600893;12.767145334803704,0.13042141987498546;12.0,0.1387591018596163",0.02568922088758748,199
26,1,"12.922847983320086,0.1288500200934502;13.228756555322953,0.12587042594304854;12.922847983320086,0.1288500200934502",0.0013524687622408996,59;77;103
13,1,"13.96424004376894,0.11924094810002875;14.142135623730951,0.11774100225154747;13.711309200802088,0.12144057127805048",0.0001,
18,1,"13.711309200802088,0.12144057127805048;13.527749258468683,0.1230884155598167;14.247806848775006,0.1168677565599198",0.006477299146552977,129;145;207
47,1,"13.601470508735444,0.12242126476295276;13.674794331177344,0.12176484574390206;13.74772708486752,0.12111887383538654",0.004786192147643807,141
29,1,"12.36931687685298,0.13461610199600893;11.958260743101398,0.139243428295037;12.489995996796797,0.13331543282659433",0.032797531349520195,122
22,1,"12.449899597988733,0.13374479120975338;12.489995996796797,0.13331543282659433;12.409673645990857,0.1341783248952188",0.12254006575050921,125
7,1,"13.076696830622021,0.12733408473737562;13.19090595827292,0.12623160437824907;13.527749258468683,0.1230884155598167",0.014443366248505167,64
31,1,"12.84523257866513,0.129628577148615;12.68857754044952,0.13122899056314594;12.083045973594572,0.13780541975543306",0.03241718822516004,148
50,1,"13.856406460551018,0.12016890721674024;13.45362404707371,0.1237665937809205;13.564659966250536,0.1227534804748707",0.0014693515492870623,127
48,1,"13.490737563232042,0.12342610732073846;13.416407864998739,0.1241099137019678;12.922847983320086,0.1288500200934502",0.025080731667808054,80
43,1,"12.884098726725126,0.12923753982585573;12.569805089976535,0.1324689770761198;12.569805089976535,0.1324689770761198",0.002550365716042106,102
30,1,"11.224972160321824,0.14833971955861458;12.0,0.1387591018596163;11.832159566199232,0.1407274143827548",0.030741818172450548,174;192
6,1,"12.96148139681572,0.1284659655280196;12.884098726725126,0.12923753982585573;12.569805089976535,0.1324689770761198",0.029642847030543474,74;89
23,1,"13.601470508735444,0.12242126476295276;13.152946437965905,0.12659590991027433;13.2664991614216,0.1255123301222873",0.0042518941232029695,141;155
28,1,"12.36931687685298,0.13461610199600893;13.2664991614216,0.1255123301222873;12.24744871391589,0.13595559868917453",0.01956154749770138,193
42,1,"14.106735979665885,0.11803646319854307;14.38749456993816,0.11573309127737537;14.317821063276353,0.11629627266303941",0.0001,
49,1,"13.92838827718412,0.11954787511509753;14.177446878757825,0.11744774898858842;14.035668847618199,0.11863411999763433",0.0001,
19,1,"12.806248474865697,0.1300231856022033;12.165525060596439,0.13687113495073103;13.0,0.12808532479349197",0.09370886710985823,97
12,1,"13.674794331177344,0.12176484574390206;13.30413469565007,0.12515727331442464;13.820274961085254,0.12048307483056335",0.0001,
27,1,"13.74772708486752,0.12111887383538654;13.416407864998739,0.1241099137019678;13.2664991614216,0.1255123301222873",0.000922074100422665,81
9,1,"14.142135623730951,0.11774100225154747;13.601470508735444,0.12242126476295276;14.035668847618199,0.11863411999763433",0.012355932563925084,169
2,1,"12.649110640673518,0.13163844238670797;12.24744871391589,0.13595559868917453;12.609520212918492,0.132051750915113",0.11692809288117935,63
34,1,"13.2664991614216,0.1255123301222873;12.922847983320086,0.1288500200934502;12.767145334803704,0.13042141987498546",0.0001,
46,1,"13.114877048604,0.1269633879253665;13.74772708486752,0.12111887383538654;13.45362404707371,0.1237665937809205",0.00020905790850411928,61
20,1,"13.674794331177344,0.12176484574390206;12.84523257866513,0.129628577148615;13.784048752090222,0.12079971946289708",0.01656595627041814,105
15,1,"12.489995996796797,0.13331543282659433;13.416407864998739,0.1241099137019678;12.884098726725126,0.12923753982585573",0.03631867539709139,104
11,1,"13.341664064126334,0.12480521277646438;13.152946437965905,0.12659590991027433;13.490737563232042,0.12342610732073846",0.0001,
1,1,"13.114877048604,0.1269633879253665;12.767145334803704,0.13042141987498546;13.490737563232042,0.12342610732073846",0.002276422159926631,178
37,1,"13.0,0.12808532479349197;12.68857754044952,0.13122899056314594;12.649110640673518,0.13163844238670797",0.012299953858821424,121;143;179
45,1,"14.212670403551895,0.11715667605288779;13.711309200802088,0.12144057127805048;14.142135623730951,0.11774100225154747",0.0001,
17,1,"13.30413469565007,0.12515727331442464;13.341664064126334,0.12480521277646438;13.601470508735444,0.12242126476295276",0.01083221298874578,174
40,1,"14.0,0.11893637302252824;13.92838827718412,0.11954787511509753;14.0,0.11893637302252824",0.0001,
39,1,"12.529964086141668,0.13289018315359993;12.727922061357855,0.13082333583505273;12.0,0.1387591018596163",0.0013126765672369705,100
4,1,"13.784048752090222,0.12079971946289708;13.711309200802088,0.12144057127805048;13.784048752090222,0.12079971946289708",0.0001,
32,1,"13.96424004376894,0.11924094810002875;13.638181696985855,0.12209173182400096;13.152946437965905,0.12659590991027433",0.0001,
25,1,"13.341664064126334,0.12480521277646438;13.30413469565007,0.12515727331442464;13.114877048604,0.1269633879253665",0.030760970023860593,167
24,1,"12.12435565298214,0.13733589396198886;12.727922061357855,0.13082333583505273;12.165525060596439,0.13687113495073103",0.007930963869615316,103;132
41,1,"13.341664064126334,0.12480521277646438;12.806248474865697,0.1300231856022033;13.2664991614216,0.1255123301222873",0.05003804828940912,177
33,1,"13.527749258468683,0.1230884155598167;13.19090595827292,0.12623160437824907;13.341664064126334,0.12480521277646438",0.01426146554578282,101
