"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"74;206","0.148;0.412"
1,1,"74;206","0.148;0.412"
1,1,"74;206","0.148;0.412"
1,1,"74;206","0.148;0.412"
1,1,"74;206","0.148;0.412"
1,1,"74;206","0.148;0.412"
1,1,"74;206","0.148;0.412"
1,1,"74;206","0.148;0.412"
1,1,"74;206","0.148;0.412"
1,1,"74;206","0.148;0.412"
1,1,"74;206","0.148;0.412"
1,1,"74;206","0.148;0.412"
1,1,"84;270","0.168;0.54"
1,1,"84;270","0.168;0.54"
1,1,"84;270","0.168;0.54"
1,1,"84;270","0.168;0.54"
1,1,"167;374","0.334;0.748"
1,1,"65;406","0.13;0.812"
1,1,"74;138","0.148;0.276"
1,1,"243;379","0.486;0.758"
1,1,"137;250","0.274;0.5"
1,1,"158;378","0.316;0.756"
1,1,"153;420","0.306;0.84"
1,1,"305;412","0.61;0.824"
1,1,"158;378","0.316;0.756"
1,1,"143;311","0.286;0.622"
1,1,"72;428","0.144;0.856"
1,1,"84;270","0.168;0.54"
1,1,"72;428","0.144;0.856"
1,1,"74;138","0.148;0.276"
1,1,"64;153","0.128;0.306"
1,1,"78;408","0.156;0.816"
1,1,"65;406","0.13;0.812"
1,1,"304;410","0.608;0.82"
1,1,"237;336","0.474;0.672"
1,1,"56;345","0.112;0.69"
1,1,"92;354","0.184;0.708"
1,1,"303;436","0.606;0.872"
1,1,"65;406","0.13;0.812"
1,1,"158;237","0.316;0.474"
1,1,"64;131","0.128;0.262"
1,1,"107;274","0.214;0.548"
1,1,"88;425","0.176;0.85"
1,1,"243;410","0.486;0.82"
1,1,"152;242","0.304;0.484"
1,1,"66;389","0.132;0.778"
1,1,"317;426","0.634;0.852"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
1,1,"158;237","0.316;0.474"
